home,away,home_goal,away_goal
Manchester United,Leicester City,2,1
Newcastle United,Tottenham Hotspur,1,2
AFC Bournemouth,Cardiff City,2,0
Fulham,Crystal Palace,0,2
Huddersfield Town,Chelsea,0,3
Watford,Brighton & Hove Albion,2,0
Wolverhampton Wanderers,Everton,2,2
Liverpool,West Ham United,4,0
Southampton,Burnley,0,0
Arsenal,Manchester City,0,2
Cardiff City,Newcastle United,0,0
Everton,Southampton,2,1
Leicester City,Wolverhampton Wanderers,2,0
Tottenham Hotspur,Fulham,3,1
West Ham United,AFC Bournemouth,1,2
Chelsea,Arsenal,3,2
Burnley,Watford,1,3
Manchester City,Huddersfield Town,6,1
Brighton & Hove Albion,Manchester United,3,2
Crystal Palace,Liverpool,0,2
Wolverhampton Wanderers,Manchester City,1,1
AFC Bournemouth,Everton,2,2
Arsenal,West Ham United,3,1
Huddersfield Town,Cardiff City,0,0
Southampton,Leicester City,1,2
Liverpool,Brighton & Hove Albion,1,0
Watford,Crystal Palace,2,1
Fulham,Burnley,4,2
Newcastle United,Chelsea,1,2
Manchester United,Tottenham Hotspur,0,3
Leicester City,Liverpool,1,2
Brighton & Hove Albion,Fulham,2,2
Chelsea,AFC Bournemouth,2,0
Crystal Palace,Southampton,0,2
Everton,Huddersfield Town,1,1
West Ham United,Wolverhampton Wanderers,0,1
Manchester City,Newcastle United,2,1
Cardiff City,Arsenal,2,3
Burnley,Manchester United,0,2
Watford,Tottenham Hotspur,2,1
Tottenham Hotspur,Liverpool,1,2
AFC Bournemouth,Leicester City,4,2
Chelsea,Cardiff City,4,1
Huddersfield Town,Crystal Palace,0,1
Manchester City,Fulham,3,0
Newcastle United,Arsenal,1,2
Watford,Manchester United,1,2
Wolverhampton Wanderers,Burnley,1,0
Everton,West Ham United,1,3
Southampton,Brighton & Hove Albion,2,2
Fulham,Watford,1,1
Burnley,AFC Bournemouth,4,0
Cardiff City,Manchester City,0,5
Crystal Palace,Newcastle United,0,0
Leicester City,Huddersfield Town,3,1
Liverpool,Southampton,3,0
Manchester United,Wolverhampton Wanderers,1,1
Brighton & Hove Albion,Tottenham Hotspur,1,2
West Ham United,Chelsea,0,0
Arsenal,Everton,2,0
West Ham United,Manchester United,3,1
Arsenal,Watford,2,0
Everton,Fulham,3,0
Huddersfield Town,Tottenham Hotspur,0,2
Manchester City,Brighton & Hove Albion,2,0
Newcastle United,Leicester City,0,2
Wolverhampton Wanderers,Southampton,2,0
Chelsea,Liverpool,1,1
Cardiff City,Burnley,1,2
AFC Bournemouth,Crystal Palace,2,1
Brighton & Hove Albion,West Ham United,1,0
Burnley,Huddersfield Town,1,1
Crystal Palace,Wolverhampton Wanderers,0,1
Leicester City,Everton,1,2
Tottenham Hotspur,Cardiff City,1,0
Watford,AFC Bournemouth,0,4
Manchester United,Newcastle United,3,2
Fulham,Arsenal,1,5
Southampton,Chelsea,0,3
Liverpool,Manchester City,0,0
Chelsea,Manchester United,2,2
AFC Bournemouth,Southampton,0,0
Cardiff City,Fulham,4,2
Manchester City,Burnley,5,0
Newcastle United,Brighton & Hove Albion,0,1
West Ham United,Tottenham Hotspur,0,1
Wolverhampton Wanderers,Watford,0,2
Huddersfield Town,Liverpool,0,1
Everton,Crystal Palace,2,0
Arsenal,Leicester City,3,1
Brighton & Hove Albion,Wolverhampton Wanderers,1,0
Fulham,AFC Bournemouth,0,3
Liverpool,Cardiff City,4,1
Southampton,Newcastle United,0,0
Watford,Huddersfield Town,3,0
Leicester City,West Ham United,1,1
Burnley,Chelsea,0,4
Crystal Palace,Arsenal,2,2
Manchester United,Everton,2,1
Tottenham Hotspur,Manchester City,0,1
AFC Bournemouth,Manchester United,1,2
Cardiff City,Leicester City,0,1
Everton,Brighton & Hove Albion,3,1
Newcastle United,Watford,1,0
West Ham United,Burnley,4,2
Arsenal,Liverpool,1,1
Wolverhampton Wanderers,Tottenham Hotspur,2,3
Manchester City,Southampton,6,1
Chelsea,Crystal Palace,3,1
Huddersfield Town,Fulham,1,0
Cardiff City,Brighton & Hove Albion,2,1
Huddersfield Town,West Ham United,1,1
Leicester City,Burnley,0,0
Newcastle United,AFC Bournemouth,2,1
Southampton,Watford,1,1
Crystal Palace,Tottenham Hotspur,0,1
Liverpool,Fulham,2,0
Chelsea,Everton,0,0
Arsenal,Wolverhampton Wanderers,1,1
Manchester City,Manchester United,3,1
Brighton & Hove Albion,Leicester City,1,1
Everton,Cardiff City,1,0
Fulham,Southampton,3,2
Manchester United,Crystal Palace,0,0
